0,Orthology,Reaction,Reaction_decode,Pathway,Pathway_decode,Module,Module_decode
K00001,"E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]",R08310,"4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one + NAD+ <=> 5-Phenyl-1,3-oxazinane-2,4-dione + NADH + H+",map01220,Degradation of aromatic compounds,,
K07712,"glnG, ntrC; two-component system, NtrC family, nitrogen regulation response regulator GlnG",,,map02020,Two-component system,,
K07713,"zraR, hydG; two-component system, NtrC family, response regulator HydG",,,map02020,Two-component system,,
K07714,"atoC; two-component system, NtrC family, response regulator AtoC",,,map02020,Two-component system,,
K07715,"glrR, qseF; two-component system, NtrC family, response regulator GlrR",,,map02024,Quorum sensing,,
K07716,"pleC; two-component system, cell cycle sensor histidine kinase PleC [EC:2.7.13.3]",,,map04112,Cell cycle - Caulobacter,,
K07717,"ycbA, glnK; two-component system, sensor histidine kinase YcbA [EC:2.7.13.3]",,,map02020,Two-component system,,
K07718,"yesM; two-component system, sensor histidine kinase YesM [EC:2.7.13.3]",,,map02020,Two-component system,,
K07719,"ycbB, glnL; two-component system, response regulator YcbB",,,map02020,Two-component system,,
K07720,"yesN; two-component system, response regulator YesN",,,map02020,Two-component system,,
K07721,K07721; ArsR family transcriptional regulator,,,,,,
K07722,"nikR; CopG family transcriptional regulator, nickel-responsive regulator",,,,,,
K07723,ndoAI; CopG family transcriptional regulator / antitoxin EndoAI,,,,,,
K07724,"ner, nlp, sfsB; Ner family transcriptional regulator",,,,,,
K07725,csa3; CRISPR-associated protein Csa3,,,,,,
K07726,K07726; putative transcriptional regulator,,,,,,
K07727,K07727; putative transcriptional regulator,,,,,,
K07728,K07728; putative transcriptional regulator,,,,,,
K07729,K07729; putative transcriptional regulator,,,,,,
K07730,K07730; putative transcriptional regulator,,,,,,
K07731,K07731; putative transcriptional regulator,,,,,,
K07732,"rfk; riboflavin kinase, archaea type [EC:2.7.1.161]",R08574,CTP + Riboflavin <=> CDP + FMN,map01100,Metabolic pathways,,
K07733,alpA; prophage regulatory protein,,,,,,
K07734,paiB; transcriptional regulator,,,,,,
K07735,algH; putative transcriptional regulator,,,,,,
K07736,carD; CarD family transcriptional regulator,,,,,,
K07738,nrdR; transcriptional repressor NrdR,,,,,,
K07739,"ELP3, KAT9; elongator complex protein 3 [EC:2.3.1.48]",,,,,,
K07740,rsd; regulator of sigma D,,,,,,
K07741,antB; anti-repressor protein,,,,,,
K07742,ylxR; uncharacterized protein,,,,,,
K07743,K07743; transcriptional regulator,,,,,,
K07744,K07744; transcriptional regulator,,,,,,
K07745,K07745; transcriptional regulator,,,,,,
K07746,parD1_3_4; antitoxin ParD1/3/4,,,,,,
K07747,BACE2; beta-site APP-cleaving enzyme 2 (memapsin 1) [EC:3.4.23.45],,,map05010,Alzheimer disease,,
K07748,"NSDHL, ERG26; sterol-4alpha-carboxylate 3-dehydrogenase (decarboxylating) [EC:1.1.1.170]",R12404,"4alpha-Carboxy-5alpha-cholesta-8,24-dien-3beta-ol + NADP+ <=> Zymosterone + NADPH + H+ + CO2",map01130,Biosynthesis of antibiotics,M00101,"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol"
K07749,frc; formyl-CoA transferase [EC:2.8.3.16],,,,,,
K07750,"MESO1, ERG25; methylsterol monooxygenase [EC:1.14.18.9]",R12403,"4alpha-Methylzymosterol + 6 Ferrocytochrome b5 + 3 Oxygen + 6 H+ <=> 4alpha-Carboxy-5alpha-cholesta-8,24-dien-3beta-ol + 6 Ferricytochrome b5 + 4 H2O",map01130,Biosynthesis of antibiotics,M00101,"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol"
K07751,pepB; PepB aminopeptidase [EC:3.4.11.23],R04951,R-S-Cysteinylglycine + H2O <=> S-Substituted L-cysteine + Glycine,map01100,Metabolic pathways,,
K07752,CPD; carboxypeptidase D [EC:3.4.17.22],,,,,,
K07753,PECR; peroxisomal trans-2-enoyl-CoA reductase [EC:1.3.1.38],,,map04146,Peroxisome,,
K07754,DIO3; thyroxine 5-deiodinase [EC:1.21.99.3],,,map04919,Thyroid hormone signaling pathway,,
K07755,AS3MT; arsenite methyltransferase [EC:2.1.1.137],,,,,,
K07756,"IP6K, IHPK; inositol-hexakisphosphate 5-kinase [EC:2.7.4.21]",R10548,"ATP + 1-Diphosinositol pentakisphosphate <=> ADP + 1D-myo-Inositol 1,5-bis(diphosphate) 2,3,4,6-tetrakisphosphate",map04138,Autophagy - yeast,,
K07757,ybiV; sugar-phosphatase [EC:3.1.3.23],R00804,Sugar phosphate + H2O <=> Sugar + Orthophosphate,,,,
K07758,PDXP; pyridoxal phosphatase [EC:3.1.3.74],R02494,Pyridoxamine + Orthophosphate <=> Pyridoxamine phosphate + H2O,map01100,Metabolic pathways,,
K07759,PARG; poly(ADP-ribose) glycohydrolase [EC:3.2.1.143],,,,,,
K07760,CDK; cyclin-dependent kinase [EC:2.7.11.22],,,,,,
K07761,5MMP; metalloendoproteinase 5-MMP [EC:3.4.24.-],,,,,,
K07762,PAPPA; pappalysin-1 [EC:3.4.24.79],,,,,,
K07763,MMP14; matrix metalloproteinase-14 (membrane-inserted) [EC:3.4.24.80],,,map04928,"Parathyroid hormone synthesis, secretion and action",,
K07764,ADAMTS4; a disintegrin and metalloproteinase with thrombospondin motifs 4 [EC:3.4.24.82],,,,,,
K07765,MBTPS2; S2P endopeptidase [EC:3.4.24.85],,,map04141,Protein processing in endoplasmic reticulum,,
K07766,E3.6.1.52; diphosphoinositol-polyphosphate diphosphatase [EC:3.6.1.52],,,,,,
K07767,KATNA1; katanin p60 ATPase-containing subunit A1 [EC:5.6.1.1],,,,,,
K07768,"senX3; two-component system, OmpR family, sensor histidine kinase SenX3 [EC:2.7.13.3]",,,map02020,Two-component system,,
K07769,"nblS; two-component system, OmpR family, sensor histidine kinase NblS [EC:2.7.13.3]",,,map02020,Two-component system,,
K07770,"cssR; two-component system, OmpR family, response regulator CssR",,,map02020,Two-component system,,
K07771,"basR; two-component system, OmpR family, response regulator BasR",,,map02020,Two-component system,,
K07772,"torR; two-component system, OmpR family, torCAD operon response regulator TorR",,,map02020,Two-component system,,
K07773,"arcA; two-component system, OmpR family, aerobic respiration control protein ArcA",,,map02026,Biofilm formation - Escherichia coli,,
K07774,"tctD; two-component system, OmpR family, response regulator TctD",,,map02020,Two-component system,,
K07775,"resD; two-component system, OmpR family, response regulator ResD",,,map02020,Two-component system,,
K07776,"regX3; two-component system, OmpR family, response regulator RegX3",,,map02020,Two-component system,,
K07777,"degS; two-component system, NarL family, sensor histidine kinase DegS [EC:2.7.13.3]",,,map02020,Two-component system,,
K07778,"desK; two-component system, NarL family, sensor histidine kinase DesK [EC:2.7.13.3]",,,map02020,Two-component system,,
K07779,CHST13; chondroitin 4-sulfotransferase 13 [EC:2.8.2.5],R02180,"3'-Phosphoadenylyl sulfate + Chondroitin <=> Adenosine 3',5'-bisphosphate + Chondroitin 4-sulfate",map00532,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,,
K07780,"appY; AraC family transcriptional regulator, transcriptional regulator required for anaerobic and stationary phase induction of genes",,,map02020,Two-component system,,
K07781,"rcsA; LuxR family transcriptional regulator, capsular biosynthesis positive transcription factor",,,map02026,Biofilm formation - Escherichia coli,,
K07782,"sdiA; LuxR family transcriptional regulator, quorum-sensing system regulator SdiA",,,map02026,Biofilm formation - Escherichia coli,,
K07783,"uhpC; MFS transporter, OPA family, sugar phosphate sensor protein UhpC",,,map02020,Two-component system,,
K07784,"uhpT; MFS transporter, OPA family, hexose phosphate transport protein UhpT",,,map02020,Two-component system,,
K07785,"nrsD, nreB; MFS transporter, NRE family, putaive nickel resistance protein",,,map02020,Two-component system,,
K07786,"emrY; MFS transporter, DHA2 family, multidrug resistance protein",,,map02020,Two-component system,,
K07787,"cusA, silA; Cu(I)/Ag(I) efflux system membrane protein CusA/SilA",,,map02020,Two-component system,,
K07788,mdtB; multidrug efflux pump,,,map02020,Two-component system,,
K07789,mdtC; multidrug efflux pump,,,map02020,Two-component system,,
K07790,pagO; putative membrane protein PagO,,,map02020,Two-component system,,
K07791,dcuA; anaerobic C4-dicarboxylate transporter DcuA,,,,,,
K07792,dcuB; anaerobic C4-dicarboxylate transporter DcuB,,,map02020,Two-component system,,
K07793,tctA; putative tricarboxylic transport membrane protein,,,map02020,Two-component system,,
K07794,tctB; putative tricarboxylic transport membrane protein,,,map02020,Two-component system,,
K07795,tctC; putative tricarboxylic transport membrane protein,,,map02020,Two-component system,,
K07796,"cusC, silC; outer membrane protein, Cu(I)/Ag(I) efflux system",,,map02020,Two-component system,,
K07797,emrK; multidrug resistance protein K,,,map02020,Two-component system,,
K07798,"cusB, silB; membrane fusion protein, Cu(I)/Ag(I) efflux system",,,map02020,Two-component system,,
K07799,"mdtA; membrane fusion protein, multidrug efflux system",,,map02020,Two-component system,,
K07800,agrD; AgrD protein,,,map02024,Quorum sensing,,
K07801,pagK; PhoPQ-activated protein,,,map02020,Two-component system,,
K07802,trpL; trp operon leader peptide,,,,,,
K07803,zraP; zinc resistance-associated protein,,,map02020,Two-component system,,
K07804,pagC; putatice virulence related protein PagC,,,map02020,Two-component system,,
K07805,pagD; putative membrane protein PagD,,,map02020,Two-component system,,
K07806,"arnB, pmrH; UDP-4-amino-4-deoxy-L-arabinose-oxoglutarate aminotransferase [EC:2.6.1.87]",R07659,UDP-L-Ara4O + L-Glutamate <=> UDP-L-Ara4N + 2-Oxoglutarate,map02020,Two-component system,M00761,"Undecaprenylphosphate alpha-L-Ara4N biosynthesis, UDP-GlcA => undecaprenyl phosphate alpha-L-Ara4N"
K07807,K07807; uncharacterized protein,,,,,,
K07808,HS3ST2; [heparan sulfate]-glucosamine 3-sulfotransferase 2 [EC:2.8.2.29],,,map00534,Glycosaminoglycan biosynthesis - heparan sulfate / heparin,,
K07809,HS3ST3; [heparan sulfate]-glucosamine 3-sulfotransferase 3 [EC:2.8.2.30],R13048,"3'-Phosphoadenylyl sulfate + Heparan sulfate containing L-iduronate 2-sulfate <=> Adenosine 3',5'-bisphosphate + 3-O-Sulfated heparan sulfate containing L-iduronate 2-sulfate",map00534,Glycosaminoglycan biosynthesis - heparan sulfate / heparin,,
K07810,cusF; Cu(I)/Ag(I) efflux system periplasmic protein CusF,,,map02020,Two-component system,,
K07811,torA; trimethylamine-N-oxide reductase (cytochrome c) [EC:1.7.2.3],R02560,Trimethylamine + 2 Ferricytochrome c + H2O <=> Trimethylamine N-oxide + 2 Ferrocytochrome c + 2 H+,map02020,Two-component system,,
K07812,torZ; trimethylamine-N-oxide reductase (cytochrome c) [EC:1.7.2.3],R02560,Trimethylamine + 2 Ferricytochrome c + H2O <=> Trimethylamine N-oxide + 2 Ferrocytochrome c + 2 H+,map01120,Microbial metabolism in diverse environments,,
K07813,agrB; accessory gene regulator B,,,map02024,Quorum sensing,,
K07814,K07814; putative two-component system response regulator,,,,,,
K07816,E2.7.6.5X; putative GTP pyrophosphokinase [EC:2.7.6.5],R00429,ATP + GTP <=> AMP + Guanosine 3'-diphosphate 5'-triphosphate,map01100,Metabolic pathways,,
K07817,PTPRN; receptor-type tyrosine-protein phosphatase N [EC:3.1.3.48],,,map04940,Type I diabetes mellitus,,
K07818,PRF1; perforin 1,,,map05416,Viral myocarditis,,
K07819,"B3GALT1; beta-1,3-galactosyltransferase 1 [EC:2.4.1.86]",R06006,UDP-D-galactose + Lc3Cer <=> UDP + Lc4Cer,map01100,Metabolic pathways,M00070,"Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer"
K07820,"B3GALT2; beta-1,3-galactosyltransferase 2 [EC:2.4.1.86]",R06006,UDP-D-galactose + Lc3Cer <=> UDP + Lc4Cer,map01100,Metabolic pathways,M00070,"Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer"
K07821,"torY; trimethylamine-N-oxide reductase (cytochrome c), cytochrome c-type subunit TorY",,,map01120,Microbial metabolism in diverse environments,,
K07822,"flaC-A, flaC; archaeal flagellar protein FlaC",,,,,,
K07823,pcaF; 3-oxoadipyl-CoA thiolase [EC:2.3.1.174],R00829,Succinyl-CoA + Acetyl-CoA <=> CoA + 3-Oxoadipyl-CoA,map01120,Microbial metabolism in diverse environments,,
K07824,CYP53A1; benzoate 4-monooxygenase [EC:1.14.14.92],R01295,Benzoate + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 4-Hydroxybenzoate + [Oxidized NADPH---hemoprotein reductase] + H2O,map01220,Degradation of aromatic compounds,,
K07825,GNB3; guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3,,,map05200,Pathways in cancer,,
K07826,GNG2; guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2,,,map05200,Pathways in cancer,,
K07827,"KRAS, KRAS2; GTPase KRas",,,map05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,,
K07828,NRAS; GTPase NRas,,,map05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,,
K07829,RRAS; Ras-related protein R-Ras,,,map05205,Proteoglycans in cancer,,
K07830,"RRAS2, TC21; Ras-related protein R-Ras2",,,map05205,Proteoglycans in cancer,,
K07831,MRAS; Ras-related protein M-Ras,,,map05205,Proteoglycans in cancer,,
K07832,RIT1; Ras-like without CAAX 1,,,,,,
K07833,"RIT2, RIN; Ras-like without CAAX 2",,,,,,
K07834,RALA; Ras-related protein Ral-A,,,map05212,Pancreatic cancer,,
K07835,RALB; Ras-related protein Ral-B,,,map05212,Pancreatic cancer,,
K07836,RAP1B; Ras-related protein Rap-1B,,,map05211,Renal cell carcinoma,,
K07837,RAP2A; Ras-related protein Rap-2A,,,,,,
K07838,RAP2B; Ras-related protein Rap-2B,,,,,,
K07839,RAP2C; Ras-related protein Rap-2C,,,map04530,Tight junction,,
K07840,"DIRAS1; DIRAS family, GTP-binding Ras-like 1",,,,,,
K07841,"DIRAS2; DIRAS family, GTP-binding Ras-like 2",,,,,,
K07842,"DIRAS3, NOEY2; DIRAS family, GTP-binding Ras-like 3",,,,,,
K07843,"RASD1; RAS, dexamethasone-induced Ras-related protein 1",,,map04934,Cushing syndrome,,
K07844,"RASD2; RASD family, member 2",,,,,,
K07845,"RRAD, RAD1; Ras-related associated with diabetes",,,,,,
K07846,GEM; GTP binding protein overexpressed in skeletal muscle,,,,,,
K07847,REM1; Rad and Gem related GTP binding protein 1,,,,,,
K07848,REM2; Rad and Gem related GTP binding protein 2,,,,,,
K07849,RHEBL1; Ras homolog enriched in brain like 1,,,,,,
K07850,"RASL10A, RRP22; Ras-like protein family member 10A",,,,,,
K07851,RASL10B; Ras-like protein family member 10B,,,,,,
K07852,RASL11A; Ras-like protein family member 11A,,,,,,
K07853,RASL11B; Ras-like protein family member 11B,,,,,,
K07854,"RASL12, RIS; Ras-like protein family member 12",,,,,,
K07855,RERG; Ras-related and estrogen-regulated growth inhibitor,,,,,,
K07856,"RHOB; Ras homolog gene family, member B",,,,,,
K07857,"RHOC; Ras homolog gene family, member C",,,,,,
K07858,RND2; Rho family GTPase 2,,,,,,
K07859,RND3; Rho family GTPase 3,,,,,,
K07860,RAC2; Ras-related C3 botulinum toxin substrate 2,,,map05418,Fluid shear stress and atherosclerosis,,
K07861,RAC3; Ras-related C3 botulinum toxin substrate 3,,,map05418,Fluid shear stress and atherosclerosis,,
K07862,sstT; serine/threonine transporter,,,,,,
K07863,"RHOG; Ras homolog gene family, member G",,,map05132,Salmonella infection,,
K07864,"RHOJ, TCL; Ras homolog gene family, member J",,,,,,
K07865,"RHOU, WRCH1; Ras homolog gene family, member U",,,,,,
K07866,"RHOV, WRCH2; Ras homolog gene family, member V",,,,,,
K07868,RHOBTB1_2; Rho-related BTB domain-containing protein 1/2,,,map04120,Ubiquitin mediated proteolysis,,
K07869,RHOBTB3; Rho-related BTB domain-containing protein 3,,,,,,
K07870,"RHOT1, ARHT1; mitochondrial Rho GTPase 1 [EC:3.6.5.-]",,,map04214,Apoptosis - fly,,
K07871,"RHOT2, ARHT2; mitochondrial Rho GTPase 2 [EC:3.6.5.-]",,,map04137,Mitophagy - animal,,
K07872,"RHOF, RIF; Ras homolog gene family, member F",,,,,,
K07873,"RHOH, TTF; Ras homolog gene family, member H",,,map04670,Leukocyte transendothelial migration,,
K07874,RAB1A; Ras-related protein Rab-1A,,,map05134,Legionellosis,,
K07875,RAB1B; Ras-related protein Rab-1B,,,map05134,Legionellosis,,
K07876,"RAB35, RAB1C; Ras-related protein Rab-35",,,map04144,Endocytosis,,
K07877,RAB2A; Ras-related protein Rab-2A,,,map04152,AMPK signaling pathway,,
K07878,RAB2B; Ras-related protein Rab-2B,,,,,,
K07879,"RAB4A, RAB4; Ras-related protein Rab-4A",,,map04144,Endocytosis,,
K07880,RAB4B; Ras-related protein Rab-4B,,,,,,
K07881,RAB14; Ras-related protein Rab-14,,,map04152,AMPK signaling pathway,,
K07882,RAB3A; Ras-related protein Rab-3A,,,map04911,Insulin secretion,,
K07883,RAB3C; Ras-related protein Rab-3C,,,,,,
K07884,RAB3D; Ras-related protein Rab-3D,,,map04972,Pancreatic secretion,,
K07885,RAB27A; Ras-related protein Rab-27A,,,,,,
K07886,RAB27B; Ras-related protein Rab-27B,,,map04972,Pancreatic secretion,,
K07887,RAB5A; Ras-related protein Rab-5A,,,map05152,Tuberculosis,,
K07888,RAB5B; Ras-related protein Rab-5B,,,map05152,Tuberculosis,,
K07889,RAB5C; Ras-related protein Rab-5C,,,map05152,Tuberculosis,,
K07890,RAB21; Ras-related protein Rab-21,,,,,,
K07891,RAB22; Ras-related protein Rab-22,,,map04144,Endocytosis,,
K07893,RAB6A; Ras-related protein Rab-6A,,,,,,
K07894,RAB6B; Ras-related protein Rab-6B,,,,,,
K07895,RAB6C; Ras-related protein Rab-6C,,,,,,
K07896,RAB41; Ras-related protein Rab-41,,,,,,
K07897,RAB7A; Ras-related protein Rab-7A,,,map05152,Tuberculosis,,
K07898,RAB7B; Ras-related protein Rab-7B,,,map05146,Amoebiasis,,
K07899,"RAB9A, RAB9; Ras-related protein Rab-9A",,,map05162,Measles,,
K07900,RAB9B; Ras-related protein Rab-9B,,,map05162,Measles,,
K07901,"RAB8A, MEL; Ras-related protein Rab-8A",,,map04972,Pancreatic secretion,,
K07902,RAB8B; Ras-related protein Rab-8B,,,map04530,Tight junction,,
K07903,RAB10; Ras-related protein Rab-10,,,map04152,AMPK signaling pathway,,
K07904,RAB11A; Ras-related protein Rab-11A,,,map05164,Influenza A,,
K07905,RAB11B; Ras-related protein Rab-11B,,,map05164,Influenza A,,
K07906,RAB25; Ras-related protein Rab-25,,,,,,
K07907,RAB12; Ras-related protein Rab-12,,,,,,
K07908,RAB15; Ras-related protein Rab-15,,,,,,
K07909,RAB17; Ras-related protein Rab-17,,,,,,
K07910,RAB18; Ras-related protein Rab-18,,,,,,
K07911,RAB20; Ras-related protein Rab-20,,,,,,
K07912,RAB24; Ras-related protein Rab-24,,,,,,
K07913,RAB26; Ras-related protein Rab-26,,,,,,
K07914,RAB37; Ras-related protein Rab-37,,,,,,
K07915,RAB28; Ras-related protein Rab-28,,,,,,
K07916,"RAB7L1, RAB7L; Ras-related protein Rab-7L1",,,,,,
K07917,RAB30; Ras-related protein Rab-30,,,,,,
K07918,RAB32; Ras-related protein Rab-32,,,,,,
K07919,RAB33A; Ras-related protein Rab-33A,,,,,,
K07920,RAB33B; Ras-related protein Rab-33B,,,map04140,Autophagy - animal,,
K07921,RAB34; Ras-related protein Rab-34,,,,,,
K07922,RAB36; Ras-related protein Rab-36,,,,,,
K07923,RAB38; Ras-related protein Rab-38,,,,,,
K07924,RAB39A; Ras-related protein Rab-39A,,,,,,
K07925,RAB39B; Ras-related protein Rab-39B,,,map04140,Autophagy - animal,,
K07928,RAB40; Ras-related protein Rab-40,,,,,,
K07929,RAB42; Ras-related protein Rab-42,,,,,,
K07930,RAB43; Ras-related protein Rab-43,,,,,,
K07931,RABL2; Rab-like protein 2,,,,,,
K07933,RABL3; Rab-like protein 3,,,,,,
K07934,"IFT27, RAYL, RABL4; intraflagellar transport protein 27",,,,,,
K07935,"IFT22, RABL5; intraflagellar transport protein 22",,,,,,
K07936,RAN; GTP-binding nuclear protein Ran,,,map05166,Human T-cell leukemia virus 1 infection,,
K07937,ARF1; ADP-ribosylation factor 1,,,map05134,Legionellosis,,
K07938,ARF3; ADP-ribosylation factor 3,,,map04144,Endocytosis,,
K07939,ARF4; ADP-ribosylation factor 4,,,,,,
K07940,ARF5; ADP-ribosylation factor 5,,,map04144,Endocytosis,,
K07941,ARF6; ADP-ribosylation factor 6,,,map05135,Yersinia infection,,
K07942,ARL1; ADP-ribosylation factor-like protein 1,,,,,,
K07943,ARL2; ADP-ribosylation factor-like protein 2,,,,,,
K07944,ARL3; ADP-ribosylation factor-like protein 3,,,,,,
K07945,ARL4; ADP-ribosylation factor-like protein 4,,,,,,
K07949,ARL5A; ADP-ribosylation factor-like protein 5A,,,,,,
K07950,ARL5B; ADP-ribosylation factor-like protein 5B,,,,,,
K07951,"ARL6, BBS3; ADP-ribosylation factor-like protein 6",,,,,,
K07952,ARFRP1; ADP-ribosylation factor related protein 1,,,,,,
K07953,SAR1; GTP-binding protein SAR1 [EC:3.6.5.-],,,map05134,Legionellosis,,
K07955,ARL8; ADP-ribosylation factor-like protein 8,,,,,,
K07957,ARL9; ADP-ribosylation factor-like protein 9,,,,,,
K07958,ARL10; ADP-ribosylation factor-like protein 10,,,,,,
K07959,ARL11; ADP-ribosylation factor-like protein 11,,,,,,
K07960,ARL12; ADP-ribosylation factor-like protein 12,,,,,,
K07961,ARL13; ADP-ribosylation factor-like protein 13,,,,,,
K07962,"ARL13B, ARL2L1; ADP-ribosylation factor-like protein 13B",,,,,,
K07963,"TRIM23, ARFD1; tripartite motif-containing protein 23 [EC:2.3.2.27]",,,,,,
K07964,HPSE; heparanase [EC:3.2.1.166],R07811,Heparan sulfate + H2O <=> Heparan sulfate + G13034,map05205,Proteoglycans in cancer,M00078,Heparan sulfate degradation
K07965,HPSE2; heparanase 2 [EC:3.2.1.-],R07811,Heparan sulfate + H2O <=> Heparan sulfate + G13034,map05205,Proteoglycans in cancer,M00078,Heparan sulfate degradation
K07966,"B4GALT1; beta-1,4-galactosyltransferase 1 [EC:2.4.1.22 2.4.1.90 2.4.1.38 2.4.1.-]",R09299,UDP-D-galactose + G13053 <=> UDP + G13054,map01100,Metabolic pathways,M00075,"N-glycan biosynthesis, complex type"
K07967,"B4GALT2; beta-1,4-galactosyltransferase 2 [EC:2.4.1.22 2.4.1.90 2.4.1.38 2.4.1.-]",R09299,UDP-D-galactose + G13053 <=> UDP + G13054,map01100,Metabolic pathways,M00075,"N-glycan biosynthesis, complex type"
K07968,"B4GALT3; beta-1,4-galactosyltransferase 3 [EC:2.4.1.90 2.4.1.38 2.4.1.-]",R09299,UDP-D-galactose + G13053 <=> UDP + G13054,map01100,Metabolic pathways,M00075,"N-glycan biosynthesis, complex type"
K07969,"B4GALT4; beta-1,4-galactosyltransferase 4 [EC:2.4.1.90 2.4.1.275 2.4.1.-]",R09755,UDP-alpha-D-galactose + N-Acetyl-beta-D-glucosaminyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide <=> UDP + beta-D-Galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide,map01100,Metabolic pathways,M00071,"Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer"
K07970,"B3GNT3; beta-1,3-N-acetylglucosaminyltransferase 3 [EC:2.4.1.146 2.4.1.149]",R12705,UDP-N-acetyl-D-glucosamine + T antigen <=> UDP + G13153,map01100,Metabolic pathways,,
K07971,"B3GNT4; beta-1,3-N-acetylglucosaminyltransferase 4 [EC:2.4.1.149]",R05975,UDP-N-acetyl-D-glucosamine + Paragloboside <=> UDP + nLc5Cer,map01100,Metabolic pathways,,
K07972,"GNB; guanine nucleotide-binding protein subunit beta, other",,,map04745,Phototransduction - fly,,
K07973,"GNG; guanine nucleotide-binding protein subunit gamma, other",,,map04011,MAPK signaling pathway - yeast,,
K07975,"K07975; Rho family, other",,,,,,
K07976,"RAB; Rab family, other",,,,,,
K07977,"ARF; Arf/Sar family, other",,,,,,
K07978,plmA; GntR family transcriptional regulator,,,,,,
K07979,ytrA; GntR family transcriptional regulator,,,,,,
K07980,"KIR3DL, CD158; killer cell immunoglobulin-like receptor 3DL",,,map04612,Antigen processing and presentation,,
K07981,"KIR2DL, CD158; killer cell immunoglobulin-like receptor 2DL",,,map04650,Natural killer cell mediated cytotoxicity,,
K07982,"KIR2DS, CD158; killer cell immunoglobulin-like receptor 2DS",,,map04650,Natural killer cell mediated cytotoxicity,,
K07983,FCER1G; high affinity immunoglobulin epsilon receptor subunit gamma,,,map05310,Asthma,,
K07984,SH3BP2; SH3-domain binding protein 2,,,map04650,Natural killer cell mediated cytotoxicity,,
K07985,MIC; MHC class I-related protein,,,map05167,Kaposi sarcoma-associated herpesvirus infection,,
K07986,ULBP; UL16 binding protein,,,map04650,Natural killer cell mediated cytotoxicity,,
K07987,RAET1; retinoic acid early transcript 1,,,map04650,Natural killer cell mediated cytotoxicity,,
K07988,"HCST, DAP10; hematopoietic cell signal transducer",,,map04650,Natural killer cell mediated cytotoxicity,,
K07989,EAT2; EWS/FLI1 activated transcript 2,,,map04650,Natural killer cell mediated cytotoxicity,,
K07990,"SH2D1A, SAP; SH2 domain protein 1A",,,map04650,Natural killer cell mediated cytotoxicity,,
K07991,"flaK-A, flaK; archaeal preflagellin peptidase FlaK [EC:3.4.23.52]",,,,,,
K07992,"TYROBP, DAP12; TYRO protein tyrosine kinase binding protein",,,map04650,Natural killer cell mediated cytotoxicity,,
K07993,MMP11; matrix metalloproteinase-11 (stromelysin 3) [EC:3.4.24.-],,,,,,
K07994,MMP13; matrix metalloproteinase-13 (collagenase 3) [EC:3.4.24.-],,,map04928,"Parathyroid hormone synthesis, secretion and action",,
K07995,MMP15; matrix metalloproteinase-15 (membrane-inserted) [EC:3.4.24.-],,,map04928,"Parathyroid hormone synthesis, secretion and action",,
K07996,MMP16; matrix metalloproteinase-16 (membrane-inserted) [EC:3.4.24.-],,,map05206,MicroRNAs in cancer,,
K07997,MMP17; matrix metalloproteinase-17 (membrane-inserted) [EC:3.4.24.-],,,map04928,"Parathyroid hormone synthesis, secretion and action",,
K07998,"MMP19, MMP18; matrix metalloproteinase-19 (RASI) [EC:3.4.24.-]",,,,,,
K07999,MMP20; matrix metalloproteinase-20 (enamelysin) [EC:3.4.24.-],,,,,,
K08000,MMP21; matrix metalloproteinase-21 [EC:3.4.24.-],,,,,,
K08001,MMP23; matrix metalloproteinase-23 (CA-MMP) [EC:3.4.24.-],,,,,,
K08002,MMP24; matrix metalloproteinase-24 (membrane-inserted) [EC:3.4.24.-],,,map04928,"Parathyroid hormone synthesis, secretion and action",,
K08003,MMP25; matrix metalloproteinase-25 (membrane-inserted) [EC:3.4.24.-],,,map04928,"Parathyroid hormone synthesis, secretion and action",,
K08004,"MMP26; matrix metalloproteinase-26 (matrilysin-2, endometase) [EC:3.4.24.-]",,,,,,
K08005,MMP27; matrix metalloproteinase-27 [EC:3.4.24.-],,,,,,
K08006,MMP28; matrix metalloproteinase-28 (epilysin) [EC:3.4.24.-],,,,,,
K08007,VIL2; villin 2 (ezrin),,,map05206,MicroRNAs in cancer,,
K08008,"NOX1, MOX1; NADPH oxidase 1",,,map05418,Fluid shear stress and atherosclerosis,,
K08009,"CYBA, P22PHOX; cytochrome b-245, alpha polypeptide",,,map05418,Fluid shear stress and atherosclerosis,,
