,CHEM_ID,SUPER_PATHWAY,SUB_PATHWAY,PATHWAY_SORTORDER,TYPE,INCHIKEY,SMILES,CHEMICAL_NAME,PLOT_NAME,CAS,CHEMSPIDER,HMDB,KEGG,PUBCHEM,CHRO_LIB_ENTRY_ID,COMP_ID,LIB_ID,PLATFORM
theophylline,100000437,Xenobiotics,Xanthine Metabolism,4614.0,NAMED,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,O=C(N1C)C(N=CN2)=C2N(C)C1=O,theophylline,theophylline,58-55-9,2068.0,HMDB0001889,C07130,2153.0,125760,18394,209,Neg
quinate,100000442,Xenobiotics,Food Component/Plant,4926.0,NAMED,AAWZDTNXLSGCEK-WYWMIBKRSA-N,O[C@@]1([C@](O)(C[C@@](C(O)=O)(C[C@]1(O)[H])O)[H])[H],quinate,quinate,77-95-2,10246715.0,HMDB0003072,C00296,6508.0,146498,18335,305,Polar
theobromine,100000445,Xenobiotics,Xanthine Metabolism,4613.0,NAMED,YAPQBXQYLJRXSA-UHFFFAOYSA-N,CN1C=NC(N(C(N2)=O)C)=C1C2=O,theobromine,theobromine,83-67-0,5236.0,HMDB0002825,C07480,5429.0,155668,18392,400,Pos Early
indolelactate,100000463,Amino Acid,Tryptophan Metabolism,303.0,NAMED,XGILAAMKEQUXLS-UHFFFAOYSA-N,OC(C(O)=O)CC1=CNC2=C1C=CC=C2,indolelactate,indolelactate,832-97-3,83867.0,HMDB0000671,C02043,92904.0,124659,18349,209,Neg
3-indoxyl sulfate,100000467,Amino Acid,Tryptophan Metabolism,327.0,NAMED,BXFFHSIDQOFMLE-UHFFFAOYSA-N,O=S(OC2=CNC1=CC=CC=C12)(O)=O,3-indoxyl sulfate,3-indoxyl sulfate,2642-37-7,9840.0,HMDB0000682,,10258.0,123315,27672,209,Neg
gamma-glutamylphenylalanine,100000491,Peptide,Gamma-glutamyl Amino Acid,658.0,NAMED,XHHOHZPNYFQJKL-QWRGUYRKSA-N,O=C(O)[C@H](CC1=CC=CC=C1)NC(CC[C@@H](C(O)=O)N)=O,gamma-glutamylphenylalanine,gamma-glutamylphenylalanine,7432-24-8,99868.0,HMDB0000594,,111299.0,156014,33422,400,Pos Early
4-methyl-2-oxopentanoate,100000551,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",348.0,NAMED,BKAJNAXTPSGJCU-UHFFFAOYSA-N,CC(C)CC(C(O)=O)=O,4-methyl-2-oxopentanoate,4-methyl-2-oxopentanoate,816-66-0,69.0,HMDB0000695,C00233,70.0,124905,22116,209,Neg
"1,5-anhydroglucitol (1,5-AG)",100000580,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1236.0,NAMED,MPCAJMNYNOGXPB-SLPGGIOYSA-N,O[C@@H]1[C@@H](CO)OC[C@H](O)[C@H]1O,"1,5-anhydroglucitol (1,5-AG)","1,5-anhydroglucitol (1,5-AG)",154-58-5,,HMDB0002712,C07326,64960.0,123293,20675,209,Neg
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),100000616,Lipid,Phosphatidylinositol (PI),2573.0,NAMED,KRTOMQDUKGRFDJ-YKOKTLGVSA-N,CCCCCCCCCCCCCCCCCC(OC[C@]([H])(COP(O)(O[C@](C(O)(C(O)(C(O)([C@](O)1[H])[H])[H])[H])([C@]1(O)[H])[H])=O)OC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)=O,1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),383907-33-3,21403055.0,HMDB0009815,,,208070,52449,402,Pos Late
sphingosine 1-phosphate,100000626,Lipid,Sphingosines,3180.0,NAMED,DUYSYHSSBDVJSM-KRWOKUGFSA-N,OP([O-])(OC[C@@]([H])([C@](O)(/C=C/CCCCCCCCCCCCC)[H])[NH3+])=O,sphingosine 1-phosphate,sphingosine 1-phosphate,26993-30-6,4446673.0,HMDB0000277,C06124,5283560.0,158668,34445,402,Pos Late
1-stearoyl-2-oleoyl-GPS (18:0/18:1),100000639,Lipid,Phosphatidylserine (PS),2522.0,NAMED,AJFWREUFUPEYII-PAHWMLEVSA-N,CCCCCCCCCCCCCCCCCC(OC[C@]([H])(COP(O)(OC[C@]([NH3+])(C([O-])=O)[H])=O)OC(CCCCCCC/C=C\CCCCCCCC)=O)=O,1-stearoyl-2-oleoyl-GPS (18:0/18:1),1-stearoyl-2-oleoyl-GPS (18:0/18:1),,7826037.0,HMDB0010163,,9547087.0,180966,19265,402,Pos Late
1-stearoyl-GPI (18:0),100000656,Lipid,Lysophospholipid,2738.0,NAMED,MXAFDFDAIFZFET-CLBYPKMISA-N,[H]C(C(O)(C(O)([C@](O)1[H])[H])[H])([C@@](OP(O)(OC[C@@]([H])(COC(CCCCCCCCCCCCCCCCC)=O)O)=O)([C@]1(O)[H])[H])O,1-stearoyl-GPI (18:0),1-stearoyl-GPI (18:0),796963-93-4,21403067.0,HMDB0240261,,7158113542607490.0,128173,19324,209,Neg
"1,2-dipalmitoyl-GPC (16:0/16:0)",100000657,Lipid,Phosphatidylcholine (PC),2295.0,NAMED,KILNVBDSWZSGLL-KXQOOQHDSA-N,CCCCCCCCCCCCCCCC(OC[C@]([H])(COP([O-])(OCC[N+](C)(C)C)=O)OC(CCCCCCCCCCCCCCC)=O)=O,"1,2-dipalmitoyl-GPC (16:0/16:0)","1,2-dipalmitoyl-GPC (16:0/16:0)",63-89-8,398235.0,HMDB0000564,D03585,452110.0,164201,19130,402,Pos Late
docosahexaenoate (DHA; 22:6n3),100000665,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1580.0,NAMED,MBMBGCFOFBJSGT-KUBAVDMBSA-N,CC\C=C/C\C=C/C\C=C/C/C=C\C/C=C\C/C=C\CCC(O)=O,docosahexaenoate (DHA; 22:6n3),docosahexaenoate (DHA; 22:6n3),6217-54-5,393183.0,HMDB0002183,C06429,445580.0,126139,44675,209,Neg
1-myristoyl-2-palmitoyl-GPC (14:0/16:0),100000672,Lipid,Phosphatidylcholine (PC),2279.0,NAMED,RFVFQQWKPSOBED-PSXMRANNSA-N,CCCCCCCCCCCCCCCC(O[C@](COC(CCCCCCCCCCCCC)=O)(COP([O-])(OCC[N+](C)(C)C)=O)[H])=O,1-myristoyl-2-palmitoyl-GPC (14:0/16:0),1-myristoyl-2-palmitoyl-GPC (14:0/16:0),69525-80-0,114798.0,HMDB0007869,,129657.0,164196,19258,402,Pos Late
alpha-hydroxyisocaproate,100000706,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",352.0,NAMED,LVRFTAZAXQPQHI-UHFFFAOYSA-N,OC(C(CC(C)C)O)=O,alpha-hydroxyisocaproate,alpha-hydroxyisocaproate,10303-64-7,75520.0,"HMDB0000665,HMDB00746,HMDB0000624",C03264,8369792779439960.0,124683,22132,209,Neg
maleate,100000707,Lipid,"Fatty Acid, Dicarboxylate",1688.0,NAMED,VZCYOOQTPOCHFL-UHFFFAOYSA-N,O=C(C=CC(O)=O)O,maleate,maleate,110-16-7,392248.0,HMDB0000176,C01384,444266.0,147767,20676,305,Polar
isovalerate (i5:0),100000708,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",356.0,NAMED,GWYFCOCPABKNJV-UHFFFAOYSA-N,CC(C)CC(O)=O,isovalerate (i5:0),isovalerate (C5),503-74-2,10001.0,HMDB0000718,C08262,10430.0,126996,44656,209,Neg
2-hydroxyoctanoate,100000743,Lipid,"Fatty Acid, Monohydroxy",1977.0,NAMED,JKRDADVRIYVCCY-UHFFFAOYSA-N,O=C(C(CCCCCC)O)O,2-hydroxyoctanoate,2-hydroxyoctanoate,617-73-2,84994.0,HMDB0002264,,9.41806995013531e+18,126061,22036,209,Neg
3-hydroxyoctanoate,100000773,Lipid,"Fatty Acid, Monohydroxy",1997.0,NAMED,NDPLAKGOSZHTPH-UHFFFAOYSA-N,OC(CC(O)=O)CCCCC,3-hydroxyoctanoate,3-hydroxyoctanoate,88930-08-9,24791.0,HMDB0001954,C20793,26613.0,126860,22001,209,Neg
phenyllactate (PLA),100000774,Amino Acid,Phenylalanine Metabolism,156.0,NAMED,VOXXWSYKYCBWHO-UHFFFAOYSA-N,OC(C(O)=O)CC1=CC=CC=C1,phenyllactate (PLA),phenyllactate (PLA),828-01-3,3715.0,"HMDB0000779,HMDB0000563",C05607,3848.0,124681,22130,209,Neg
palmitoylcarnitine (C16),100000776,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)",1881.0,NAMED,XOMRRQXKHMYMOC-UHFFFAOYSA-N,[O-]C(CC(OC(CCCCCCCCCCCCCCC)=O)C[N+](C)(C)C)=O,palmitoylcarnitine (C16),palmitoylcarnitine (C16),6865-14-1,448.0,HMDB0000222,C02990,461.0,159624,44681,402,Pos Late
hexanoylcarnitine (C6),100000781,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)",1861.0,NAMED,VVPRQWTYSNDTEA-UHFFFAOYSA-N,O=C(CCCCC)OC(CC([O-])=O)C[N+](C)(C)C,hexanoylcarnitine (C6),hexanoylcarnitine (C6),6920-35-0,4932273.0,HMDB0000756,,6426853.0,155906,32328,400,Pos Early
N-acetylaspartate (NAA),100000787,Amino Acid,Alanine and Aspartate Metabolism,37.0,NAMED,OTCCIMWXFLJLIA-BYPYZUCNSA-N,OC([C@@H](NC(C)=O)CC(O)=O)=O,N-acetylaspartate (NAA),N-acetylaspartate (NAA),"997-55-7,997-55-7",58576.0,HMDB0000812,C01042,65065.0,123313,22185,209,Neg
dehydroepiandrosterone sulfate (DHEA-S),100000792,Lipid,Androgenic Steroids,3356.0,NAMED,CZWCKYRVOZZJNM-DYIPZHMLSA-N,[H][C@@]1(CC[C@]2(C)[C@]3(CCC2=O)[H])[C@@]4(C)C(C[C@H](OS(=O)(O)=O)CC4)=CC[C@]13[H],dehydroepiandrosterone sulfate (DHEA-S),dehydroepiandrosterone sulfate (DHEA-S),651-48-9,12074.0,HMDB0001032,C04555,12594.0,124935,32425,209,Neg
acetylcarnitine (C2),100000802,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Short Chain)",1857.0,NAMED,RDHQFKQIGNGIED-MRVPVSSYSA-N,C[N+](C)(C)C[C@H](OC(C)=O)CC([O-])=O,acetylcarnitine (C2),acetylcarnitine (C2),5080-50-2,5406074.0,HMDB0000201,C02571,7045767.0,155890,32198,400,Pos Early
cysteine s-sulfate,100000808,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",467.0,NAMED,NOKPBJYHPHHWAN-REOHCLBHSA-N,N[C@H](C(O)=O)CSS(O)(=O)=O,cysteine s-sulfate,cysteine s-sulfate,1637-71-4,102939.0,HMDB0000731,C05824,115015.0,155804,22176,400,Pos Early
tartronate (hydroxymalonate),100000840,Xenobiotics,Food Component/Plant,5228.0,NAMED,ROBFUDYVXSDBQM-UHFFFAOYSA-N,O=C(C(O)C(O)=O)O,tartronate (hydroxymalonate),tartronate (hydroxymalonate),80-69-3,44.0,HMDB0035227,C02287,45.0,143841,20693,209,Neg
oxalate (ethanedioate),100000841,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,4376.0,NAMED,MUBZPKHOEPUJKR-UHFFFAOYSA-N,O=C(O)C(O)=O,oxalate (ethanedioate),oxalate (ethanedioate),144-62-7,946.0,HMDB0002329,C00209,971.0,143843,20694,209,Neg
erythritol,100000846,Xenobiotics,Food Component/Plant,4916.0,NAMED,UNXHWFMMPAWVPI-UHFFFAOYSA-N,OCC(O)C(CO)O,erythritol,erythritol,149-32-6,13835932.0,HMDB0002994,C00503,222285.0,146508,20699,305,Polar
3-hydroxymyristate,100000882,Lipid,"Fatty Acid, Monohydroxy",2003.0,NAMED,ATRNZOYKSNPPBF-UHFFFAOYSA-N,CCCCCCCCCCCC(O)CC(O)=O,3-hydroxymyristate,3-hydroxymyristate,3422-31-9,15252.0,HMDB0061656,,16064.0,152464,21158,209,Neg
iminodiacetate (IDA),100000900,Xenobiotics,Chemical,6187.0,NAMED,NBZBKCUXIYYUSX-UHFFFAOYSA-N,O=C(O)CNCC(O)=O,iminodiacetate (IDA),iminodiacetate (IDA),142-73-4,8557.0,HMDB0011753,C19911,8897.0,155725,21025,400,Pos Early
1-oleoylglycerol (18:1),100000924,Lipid,Monoacylglycerol,2873.0,NAMED,RZRNAYUHWVFMIP-KTKRTIGZSA-N,O=C(OCC(O)CO)CCCCCCC/C=C\CCCCCCCC,1-oleoylglycerol (18:1),1-oleoylglycerol (18:1),111-03-5,4446588.0,HMDB0011567,,5283468.0,126057,21184,209,Neg
3-methyl-2-oxobutyrate,100000936,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",428.0,NAMED,QHKABHOOEWYVLI-UHFFFAOYSA-N,OC(C(C(C)C)=O)=O,3-methyl-2-oxobutyrate,3-methyl-2-oxobutyrate,3715-29-5,48.0,HMDB0000019,C00141,49.0,124713,44526,209,Neg
homoarginine,100000961,Amino Acid,Urea cycle; Arginine and Proline Metabolism,500.0,NAMED,QUOGESRFPZDMMT-YFKPBYRVSA-N,N[C@H](C(O)=O)CCCCNC(N)=N,homoarginine,homoarginine,156-86-5,8732.0,HMDB0000670,C01924,9085.0,155792,22137,400,Pos Early
homocitrulline,100000963,Amino Acid,Urea cycle; Arginine and Proline Metabolism,501.0,NAMED,XIGSAGMEBXLVJJ-YFKPBYRVSA-N,N[C@H](C(O)=O)CCCCNC(N)=O,homocitrulline,homocitrulline,1190-49-4,58582.0,HMDB0000679,C02427,65072.0,123305,22138,209,Neg
3-hydroxydecanoate,100000997,Lipid,"Fatty Acid, Monohydroxy",1999.0,NAMED,FYSSBMZUBSBFJL-UHFFFAOYSA-N,OC(CC(O)=O)CCCCCCC,3-hydroxydecanoate,3-hydroxydecanoate,5561-87-5,24790.0,HMDB0002203,,26612.0,123301,22053,209,Neg
EDTA,100001002,Xenobiotics,Chemical,6178.0,NAMED,KCXVZYZYPLLWCC-UHFFFAOYSA-N,O=C(CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O)O,EDTA,EDTA,60-00-4,5826.0,HMDB0015109,C00284,6049.0,124685,22163,209,Neg
N-acetylglycine,100001006,Amino Acid,"Glycine, Serine and Threonine Metabolism",2.0,NAMED,OKJIRPAQVSHGFK-UHFFFAOYSA-N,O=C(O)C(NC(C)=O)[H],N-acetylglycine,N-acetylglycine,543-24-8,10507.0,HMDB0000532,,10972.0,155837,27710,400,Pos Early
ribonate,100001007,Carbohydrate,Pentose Metabolism,1279.0,NAMED,QXKAIJAYHKCRRA-BXXZVTAOSA-N,OC([C@H](O)[C@H](O)[C@H](O)CO)=O,ribonate,ribonate,1255190,4574162.0,HMDB0000867,C01685,5460677.0,147186,27731,305,Polar
threonate,100001022,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,4373.0,NAMED,JPIJQSOTBSSVTP-UHFFFAOYSA-N,O=C(O)C(O)([H])C([H])(O)CO,threonate,threonate,70753-61-6,133224.0,"HMDB0062620,HMDB0000943",C01620,1511525460407.0,146524,27738,305,Polar
indoleacetate,100001034,Amino Acid,Tryptophan Metabolism,304.0,NAMED,SEOVTRFCIGRIMH-UHFFFAOYSA-N,OC(CC1=CNC2=C1C=CC=C2)=O,indoleacetate,indoleacetate,6505-45-9,780.0,HMDB0000197,C00954,802.0,126866,27513,209,Neg
1-linoleoylglycerol (18:2),100001040,Lipid,Monoacylglycerol,2874.0,NAMED,WECGLUPZRHILCT-HZJYTTRNSA-N,CCCCC/C=C\C/C=C\CCCCCCCC(OCC(O)CO)=O,1-linoleoylglycerol (18:2),1-linoleoylglycerol (18:2),2277-28-3,4446589.0,HMDB0011568,,5283469.0,126071,27447,209,Neg
1-methylhistidine,100001051,Amino Acid,Histidine Metabolism,73.0,NAMED,BRMWTNUJHUMWMS-LURJTMIESA-N,N[C@H](C(O)=O)CC1=CN(C)C=N1,1-methylhistidine,1-methylhistidine,332-80-9,83153.0,HMDB0000001,C01152,92105.0,124693,30460,209,Neg
butyrylcarnitine (C4),100001054,Lipid,Fatty Acid Metabolism (also BCAA Metabolism),1785.0,NAMED,QWYFHHGCZUCMBN-SECBINFHSA-N,CCCC(O[C@H](CC([O-])=O)C[N+](C)(C)C)=O,butyrylcarnitine (C4),butyrylcarnitine (C4),25576-40-3,184820.0,HMDB0002013,C02862,439829.0,155935,32412,400,Pos Early
isobutyrylcarnitine (C4),100001055,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",431.0,NAMED,LRCNOZRCYBNMEP-VIFPVBQESA-N,CC(C)C(O[C@@H](CC([O-])=O)C[N+](C)(C)C)=O,isobutyrylcarnitine (C4),isobutyrylcarnitine (C4),25518-49-4,,HMDB0000736,,168379.0,156017,33441,400,Pos Early
androsterone sulfate,100001073,Lipid,Androgenic Steroids,3369.0,NAMED,ZMITXKRGXGRMKS-HLUDHZFRSA-N,C[C@]1([C@](CC2)([H])[C@]3([H])CC[C@@]4([H])C[C@H](OS(=O)(O)=O)CC[C@]4(C)[C@@]3([H])CC1)C2=O,androsterone sulfate,androsterone sulfate,2479-86-9,19988780.0,HMDB0002759,,159663.0,126075,31591,209,Neg
indolepropionate,100001083,Amino Acid,Tryptophan Metabolism,310.0,NAMED,GOLXRNDWAUTYKT-UHFFFAOYSA-N,OC(CCC1=CNC2=C1C=CC=C2)=O,indolepropionate,indolepropionate,830-96-6,3613.0,HMDB0002302,,3744.0,125818,32405,209,Neg
trigonelline (N'-methylnicotinate),100001092,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,4341.0,NAMED,WWNNZCOKKKDOPX-UHFFFAOYSA-N,C[N+]1=CC(C([O-])=O)=CC=C1,trigonelline (N'-methylnicotinate),trigonelline (N'-methylnicotinate),535-83-1,5369.0,HMDB0000875,C01004,5570.0,155930,32401,400,Pos Early
dodecanedioate (C12-DC),100001102,Lipid,"Fatty Acid, Dicarboxylate",1703.0,NAMED,TVIDDXQYHWJXFK-UHFFFAOYSA-N,OC(CCCCCCCCCCC(O)=O)=O,dodecanedioate (C12-DC),dodecanedioate (C12),693-23-2,12213.0,HMDB0000623,C02678,12736.0,125800,32388,209,Neg
3-methylxanthine,100001108,Xenobiotics,Xanthine Metabolism,4622.0,NAMED,GMSNIKWWOQHZGF-UHFFFAOYSA-N,O=C1N(C)C2=C(N=CN2)C(N1)=O,3-methylxanthine,3-methylxanthine,1076-22-8,63805.0,HMDB0001886,C16357,70639.0,125834,32445,209,Neg
3-hydroxylaurate,100001112,Lipid,"Fatty Acid, Monohydroxy",2002.0,NAMED,MUCMKTPAZLSKTL-UHFFFAOYSA-N,OC(CC(CCCCCCCCC)O)=O,3-hydroxylaurate,3-hydroxylaurate,53941-38-1,85026.0,HMDB0000387,,94216.0,151499,32457,209,Neg
pyridoxate,100001121,Cofactors and Vitamins,Vitamin B6 Metabolism,4471.0,NAMED,HXACOUQIXZGNBF-UHFFFAOYSA-N,OC1=C(C(O)=O)C(CO)=CN=C1C,pyridoxate,pyridoxate,82-82-6,6467.0,HMDB0000017,C00847,6723.0,124697,31555,209,Neg
gamma-glutamylvaline,100001126,Peptide,Gamma-glutamyl Amino Acid,662.0,NAMED,AQAKHZVPOOGUCK-XPUUQOCRSA-N,O=C(N[C@H]([C@@](O)=O)C(C)C)CC[C@@H]([C@](O)=O)N,gamma-glutamylvaline,gamma-glutamylvaline,2746-34-1,,HMDB0011172,,7015683.0,157051,43829,400,Pos Early
propionylcarnitine (C3),100001162,Lipid,Fatty Acid Metabolism (also BCAA Metabolism),1788.0,NAMED,UFAHZIUFPNSHSL-UHFFFAOYSA-N,[O-]C(CC(OC(CC)=O)C[N+](C)(C)C)=O,propionylcarnitine (C3),propionylcarnitine (C3),17298-37-2,96904.0,HMDB0000824,C03017,107738.0,155955,32452,400,Pos Early
pro-hydroxy-pro,100001167,Amino Acid,Urea cycle; Arginine and Proline Metabolism,522.0,NAMED,ONPXCLZMBSJLSP-ALKRTJFJSA-N,OC([C@H]1N(C([C@H]2NCCC2)=O)CC(O)C1)=O,pro-hydroxy-pro,prolylhydroxyproline,18684-24-7,9847785.0,HMDB0006695,,11902893.0,156146,35127,400,Pos Early
3-hydroxy-2-ethylpropionate,100001170,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",410.0,NAMED,ZMZQVAUJTDKQGE-UHFFFAOYSA-N,O=C(O)C(CC)CO,3-hydroxy-2-ethylpropionate,3-hydroxy-2-ethylpropionate,4374-62-3,164207.0,HMDB0000396,,188979.0,125810,32397,209,Neg
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),100001178,Lipid,"Fatty Acid, Dicarboxylate",1722.0,NAMED,WMCQWXZMVIETAO-UHFFFAOYSA-N,CCCC1=C(C)C(C(O)=O)=C(CCC(O)=O)O1,3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),86879-39-2,110498.0,HMDB0061112,,123979.0,142911,31787,209,Neg
docosapentaenoate (n3 DPA; 22:5n3),100001181,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1579.0,NAMED,YUFFSWGQGVEMMI-JLNKQSITSA-N,O=C(O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,docosapentaenoate (n3 DPA; 22:5n3),docosapentaenoate (DPA; 22:5n3),2234-74-4,,"HMDB0006528,HMDB0001976",C16513,6441454.0,125862,32504,209,Neg
docosadienoate (22:2n6),100001182,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1594.0,NAMED,HVGRZDASOHMCSK-AVQMFFATSA-N,CCCCC/C=C/C/C=C/CCCCCCCCCCCC(O)=O,docosadienoate (22:2n6),docosadienoate (22:2n6),7370-49-2,4445934.0,HMDB0061714,C16533,5282807.0,125824,32415,209,Neg
adrenate (22:4n6),100001193,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1592.0,NAMED,TWSWSIQAPQLDBP-CGRWFSSPSA-N,O=C(CCCCC/C=C/C/C=C/C/C=C/C/C=C/CCCCC)O,adrenate (22:4n6),adrenate (22:4n6),2091-25-0,4445971.0,HMDB0002226,C16527,52828445497181.0,125866,32980,209,Neg
10-undecenoate (11:1n1),100001197,Lipid,Medium Chain Fatty Acid,1517.0,NAMED,FRPZMMHWLSIFAZ-UHFFFAOYSA-N,O=C(CCCCCCCCC=C)O[H],10-undecenoate (11:1n1),10-undecenoate (11:1n1),1333-28-4,10771160.0,HMDB0033724,C13910,14891.0,125854,32497,209,Neg
myristoleate (14:1n5),100001198,Lipid,Long Chain Monounsaturated Fatty Acid,1543.0,NAMED,YWWVWXASSLXJHU-WAYWQWQTSA-N,O=C(CCCCCCC/C=C\CCCC)O,myristoleate (14:1n5),myristoleate (14:1n5),544-64-9,4444564.0,HMDB0002000,C08322,5281119.0,125828,32418,209,Neg
1-methyl-4-imidazoleacetate,100001208,Amino Acid,Histidine Metabolism,93.0,NAMED,ZHCKPJGJQOPTLB-UHFFFAOYSA-N,O=C(O)CC1=CN(C)C=N1,1-methyl-4-imidazoleacetate,1-methyl-4-imidazoleacetate,2625-49-2,68319.0,HMDB0002820,C05828,75810.0,155911,32350,400,Pos Early
sebacate (C10-DC),100001211,Lipid,"Fatty Acid, Dicarboxylate",1698.0,NAMED,CXMXRPHRNRROMY-UHFFFAOYSA-N,OC(CCCCCCCCC(O)=O)=O,sebacate (C10-DC),sebacate (C10-DC),111-20-6,5004.0,HMDB0000792,C08277,5192.0,165423,32398,305,Polar
stearidonate (18:4n3),100001229,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1574.0,NAMED,JIWBIWFOSCKQMA-LTKCOYKYSA-N,CC\C=C/C\C=C/C\C=C/C\C=C/CCCCC(O)=O,stearidonate (18:4n3),stearidonate (18:4n3),111174-40-4,4471933.0,HMDB0006547,C16300,5312508.0,126890,33969,209,Neg
5-dodecenoate (12:1n7),100001232,Lipid,Medium Chain Fatty Acid,1521.0,NAMED,IJBFSOLHRKELLR-FPLPWBNLSA-N,CCCCCC\C=C/CCCC(O)=O,5-dodecenoate (12:1n7),5-dodecenoate (12:1n7),2430-94-6,4471803.0,HMDB0000529,,5312378.0,126127,33968,209,Neg
octanoylcarnitine (C8),100001247,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)",1869.0,NAMED,CXTATJFJDMJMIY-UHFFFAOYSA-N,[O-]C(CC(C[N+](C)(C)C)OC(CCCCCCC)=O)=O,octanoylcarnitine (C8),octanoylcarnitine (C8),3671-77-0,110274.0,HMDB0000791,C02838,12370111953814.0,158581,33936,402,Pos Late
decanoylcarnitine (C10),100001251,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)",1877.0,NAMED,LZOSYCMHQXPBFU-UHFFFAOYSA-N,[O-]C(CC(C[N+](C)(C)C)OC(CCCCCCCCC)=O)=O,decanoylcarnitine (C10),decanoylcarnitine (C10),1492-27-9,8420677.0,HMDB0000651,,10245190.0,158585,33941,402,Pos Late
N-acetyltryptophan,100001254,Amino Acid,Tryptophan Metabolism,260.0,NAMED,DZTHIGRZJZPRDV-LBPRGKRZSA-N,O=C(O)[C@@H](NC(C)=O)CC1=CNC2=C1C=CC=C2,N-acetyltryptophan,N-acetyltryptophan,1218-34-4,610602.0,HMDB0013713,C03137,439917700653.0,156056,33959,400,Pos Early
N-acetylphenylalanine,100001256,Amino Acid,Phenylalanine Metabolism,144.0,NAMED,CBQJSKKFNMDLON-JTQLQIEISA-N,O=C(O)[C@@H](NC(C)=O)CC1=CC=CC=C1,N-acetylphenylalanine,N-acetylphenylalanine,2018-61-3,67404.0,HMDB0000512,C03519,74839.0,126109,33950,209,Neg
N-acetylasparagine,100001257,Amino Acid,Alanine and Aspartate Metabolism,42.0,NAMED,HXFOXFJUNFFYMO-BYPYZUCNSA-N,OC([C@@H](NC(C)=O)CC(N)=O)=O,N-acetylasparagine,N-acetylasparagine,4033-40-3,90090.0,HMDB0006028,,99715.0,147568,33942,305,Polar
1-palmitoyl-GPC (16:0),100001263,Lipid,Lysophospholipid,2617.0,NAMED,ASWBNKHCZGQVJV-UHFFFAOYSA-N,O=P(OCC[N+](C)(C)C)([O-])OCC(O)COC(CCCCCCCCCCCCCCC)=O,1-palmitoyl-GPC (16:0),1-palmitoyl-GPC (16:0),17364-16-8,78064.0,HMDB0010382,C04102,86554.0,158599,33955,402,Pos Late
N-acetylarginine,100001266,Amino Acid,Urea cycle; Arginine and Proline Metabolism,506.0,NAMED,SNEIUMQYRCDYCH-LURJTMIESA-N,O=C(O)[C@@H](NC(C)=O)CCCNC(N)=N,N-acetylarginine,N-acetylarginine,155-84-0,60752.0,HMDB0004620,C02562,67427.0,156051,33953,400,Pos Early
piperine,100001267,Xenobiotics,Food Component/Plant,5027.0,NAMED,MXXWOMGUGJBKIW-YPCIICBESA-N,O=C(N1CCCCC1)/C=C/C=C/C2=CC(OCO3)=C3C=C2,piperine,piperine,94-62-2,553590.0,HMDB0029377,C03882,638024.0,158580,33935,402,Pos Late
myristoylcarnitine (C14),100001270,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)",1879.0,NAMED,PSHXNVGSVNEJBD-UHFFFAOYSA-N,O=C(CCCCCCCCCCCCC)OC(CC([O-])=O)C[N+](C)(C)C,myristoylcarnitine (C14),myristoylcarnitine (C14),18822-89-4,4932274.0,HMDB0005066,,6426854.0,158596,33952,402,Pos Late
