,definition
K00001,"E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]"
K06121,dhbC; glycerol dehydratase medium subunit [EC:4.2.1.30]
K06133,"LYS5, acpT; 4'-phosphopantetheinyl transferase [EC:2.7.8.-]"
K06140,rnk; regulator of nucleoside diphosphate kinase
K06141,"tsgA; MFS transporter, TsgA protein"
K06144,uspB; universal stress protein B
K06145,"gntR; LacI family transcriptional regulator, gluconate utilization system Gnt-I transcriptional repressor"
K06146,"idnR, gntH; LacI family transcriptional regulator, gluconate utilization system Gnt-II transcriptional activator"
K06149,uspA; universal stress protein A
K06151,E1.1.99.3A; gluconate 2-dehydrogenase alpha chain [EC:1.1.99.3]
K06153,bacA; undecaprenyl-diphosphatase [EC:3.6.1.27]
K06155,gntT; Gnt-I system high-affinity gluconate transporter
K06157,idnT; Gnt-II system L-idonate transporter
K06158,"ABCF3; ATP-binding cassette, subfamily F, member 3"
K06159,yojI; multidrug/microcin transport system ATP-binding/permease protein
K06163,phnJ; alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase [EC:4.7.1.1]
K06166,phnG; alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG [EC:2.7.8.37]
K06167,"phnP; phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]"
K06175,truC; tRNA pseudouridine65 synthase [EC:5.4.99.26]
K06176,"truD, PUS7; tRNA pseudouridine13 synthase [EC:5.4.99.27]"
K06178,rluB; 23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]
K06180,rluD; 23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23]
K06181,rluE; 23S rRNA pseudouridine2457 synthase [EC:5.4.99.20]
K06182,rluF; 23S rRNA pseudouridine2604 synthase [EC:5.4.99.21]
K06186,"bamE, smpA; outer membrane protein assembly factor BamE"
K06188,aqpZ; aquaporin Z
K06189,corC; magnesium and cobalt transporter
K06190,ispZ; intracellular septation protein
K06191,nrdH; glutaredoxin-like protein NrdH
K06192,pqiB; paraquat-inducible protein B
K06193,phnA; protein PhnA
K06194,nlpD; lipoprotein NlpD
K06197,chaB; cation transport regulator
K06199,"crcB, FEX; fluoride exporter"
K06201,cutC; copper homeostasis protein
K06202,cyaY; CyaY protein
K06203,cysZ; CysZ protein
K06205,mioC; MioC protein
K06206,sfsA; sugar fermentation stimulation protein A
K06207,"typA, bipA; GTP-binding protein"
K06209,pheB; chorismate mutase [EC:5.4.99.5]
K06211,"nadR; HTH-type transcriptional regulator, transcriptional repressor of NAD biosynthesis genes [EC:2.7.7.1 2.7.1.22]"
K06212,focA; formate transporter
K06214,csgG; curli production assembly/transport component CsgG
K06215,"pdxS, pdx1; pyridoxal 5'-phosphate synthase pdxS subunit [EC:4.3.3.6]"
K06217,"phoH, phoL; phosphate starvation-inducible protein PhoH and related proteins"
K06218,"relE, stbE; mRNA interferase RelE/StbE"
K06219,smtA; S-adenosylmethionine-dependent methyltransferase
K06221,"dkgA; 2,5-diketo-D-gluconate reductase A [EC:1.1.1.346]"
K06222,"dkgB; 2,5-diketo-D-gluconate reductase B [EC:1.1.1.346]"
K06223,dam; DNA adenine methylase [EC:2.1.1.72]
K06281,"hyaB, hybC; hydrogenase large subunit [EC:1.12.99.6]"
K06282,"hyaA, hybO; hydrogenase small subunit [EC:1.12.99.6]"
K06284,"abrB; AbrB family transcriptional regulator, transcriptional pleiotropic regulator of transition state genes"
K06287,maf; septum formation protein
K06297,gerKC; spore germination protein KC
K06317,bofA; inhibitor of the pro-sigma K processing machinery
K06320,cgeB; spore maturation protein CgeB
K06331,cotI; spore coat protein I
K06333,cotJB; spore coat protein JB
K06334,cotJC; spore coat protein JC
K06336,"tasA, cotN; spore coat-associated protein N"
K06383,spoIIGA; stage II sporulation protein GA (sporulation sigma-E factor processing peptidase) [EC:3.4.23.-]
K06384,spoIIM; stage II sporulation protein M
K06391,spoIIIAB; stage III sporulation protein AB
K06395,spoIIIAF; stage III sporulation protein AF
K06400,spoIVCA; site-specific DNA recombinase
K06402,spoIVFB; stage IV sporulation protein FB [EC:3.4.24.-]
K06408,spoVAF; stage V sporulation protein AF
K06415,spoVR; stage V sporulation protein R
K06416,spoVS; stage V sporulation protein S
K06436,yabG; spore coat assemly protein
K06445,fadE; acyl-CoA dehydrogenase [EC:1.3.99.-]
K06446,DCAA; acyl-CoA dehydrogenase [EC:1.3.99.-]
K06447,astD; succinylglutamic semialdehyde dehydrogenase [EC:1.2.1.71]
K06518,cidA; holin-like protein
K06603,flaG; flagellar protein FlaG
K06605,iolH; myo-inositol catabolism protein IolH
K06606,iolI; 2-keto-myo-inositol isomerase [EC:5.3.99.11]
K06608,"iolR; DeoR family transcriptional regulator, myo-inositol catabolism operon repressor"
K06610,"iolF; MFS transporter, SP family, inositol transporter"
K06857,"tupC, vupC; tungstate transport system ATP-binding protein [EC:7.3.2.6]"
K06858,btuF; vitamin B12 transport system substrate-binding protein
K06859,"pgi1; glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]"
K06866,grcA; autonomous glycyl radical cofactor
K06867,K06867; uncharacterized protein
K06872,K06872; uncharacterized protein
K06877,K06877; DEAD/DEAH box helicase domain-containing protein
K06878,K06878; tRNA-binding protein
K06879,queF; 7-cyano-7-deazaguanine reductase [EC:1.7.1.13]
K06881,nrnA; bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3]
K06887,K06887; uncharacterized protein
K06889,K06889; uncharacterized protein
K06891,clpS; ATP-dependent Clp protease adaptor protein ClpS
K06894,K06894; uncharacterized protein
K06895,"lysE, argO; L-lysine exporter family protein LysE/ArgO"
K06897,"K06897; 7,8-dihydropterin-6-yl-methyl-4-(beta-D-ribofuranosyl)aminobenzene 5'-phosphate synthase [EC:2.5.1.105]"
K06899,ndpA; nucleoid-associated protein
K06903,K06903; uncharacterized protein
K06904,K06904; uncharacterized protein
K06906,K06906; uncharacterized protein
K06907,K06907; uncharacterized protein
K06908,K06908; uncharacterized protein
K06909,xtmB; phage terminase large subunit
K06915,K06915; uncharacterized protein
K06916,zapE; cell division protein ZapE
K06917,selU; tRNA 2-selenouridine synthase [EC:2.9.1.-]
K06918,K06918; uncharacterized protein
K06920,queC; 7-cyano-7-deazaguanine synthase [EC:6.3.4.20]
K06925,tsaE; tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
K06926,K06926; uncharacterized protein
K06928,NTPCR; nucleoside-triphosphatase [EC:3.6.1.15]
K06929,K06929; uncharacterized protein
K06938,K06938; uncharacterized protein
K06941,rlmN; 23S rRNA (adenine2503-C2)-methyltransferase [EC:2.1.1.192]
K06942,ychF; ribosome-binding ATPase
K06946,K06946; uncharacterized protein
K06949,"rsgA, engC; ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]"
K06950,K06950; uncharacterized protein
K06952,K06952; uncharacterized protein
K06956,K06956; uncharacterized protein
K06957,tmcA; tRNA(Met) cytidine acetyltransferase [EC:2.3.1.193]
K06962,K06962; uncharacterized protein
K06966,ppnN; pyrimidine/purine-5'-nucleotide nucleosidase [EC:3.2.2.10 3.2.2.-]
K06970,rlmF; 23S rRNA (adenine1618-N6)-methyltransferase [EC:2.1.1.181]
K06975,K06975; uncharacterized protein
K06976,K06976; uncharacterized protein
K06978,K06978; uncharacterized protein
K06980,ygfZ; tRNA-modifying protein YgfZ
K06988,fno; 8-hydroxy-5-deazaflavin:NADPH oxidoreductase [EC:1.5.1.40]
K06989,"nadX, ASPDH; aspartate dehydrogenase [EC:1.4.1.21]"
K06990,MEMO1; MEMO1 family protein
K06994,K06994; putative drug exporter of the RND superfamily
K06996,K06996; uncharacterized protein
K06997,"yggS, PROSC; PLP dependent protein"
K06999,K06999; phospholipase/carboxylesterase
K07000,K07000; uncharacterized protein
K07004,K07004; uncharacterized protein
K07005,K07005; uncharacterized protein
K07006,K07006; uncharacterized protein
K07009,gatD; lipid II isoglutaminyl synthase (glutamine-hydrolysing) [EC:6.3.5.13]
K07010,K07010; putative glutamine amidotransferase
K07014,K07014; uncharacterized protein
K07016,"csm1, cas10; CRISPR-associated protein Csm1"
K07017,K07017; uncharacterized protein
K07023,K07023; putative hydrolases of HD superfamily
K07025,K07025; putative hydrolase of the HAD superfamily
K07026,E3.1.3.70; mannosyl-3-phosphoglycerate phosphatase [EC:3.1.3.70]
K07027,K07027; glycosyltransferase 2 family protein
K07029,dagK; diacylglycerol kinase (ATP) [EC:2.7.1.107]
K07031,hddA; D-glycero-alpha-D-manno-heptose-7-phosphate kinase [EC:2.7.1.168]
K07032,K07032; uncharacterized protein
K07037,pgpH; cyclic-di-AMP phosphodiesterase PgpH [EC:3.1.4.-]
K07038,K07038; inner membrane protein
K07043,K07043; uncharacterized protein
K07048,"PTER, php; phosphotriesterase-related protein"
K07051,K07051; uncharacterized protein
K07052,K07052; uncharacterized protein
K07053,"E3.1.3.97; 3',5'-nucleoside bisphosphate phosphatase [EC:3.1.3.97]"
K07054,K07054; uncharacterized protein
K07056,rsmI; 16S rRNA (cytidine1402-2'-O)-methyltransferase [EC:2.1.1.198]
K07068,K07068; uncharacterized protein
K07069,K07069; uncharacterized protein
K07071,K07071; uncharacterized protein
K07074,K07074; uncharacterized protein
K07075,K07075; uncharacterized protein
K07078,K07078; uncharacterized protein
K07079,K07079; uncharacterized protein
K07080,K07080; uncharacterized protein
K07082,K07082; UPF0755 protein
K07084,yuiF; putative amino acid transporter
K07089,K07089; uncharacterized protein
K07095,K07095; uncharacterized protein
K07096,K07096; uncharacterized protein
K07098,K07098; uncharacterized protein
K07101,K07101; uncharacterized protein
K07102,amgK; N-acetylmuramate 1-kinase [EC:2.7.1.221]
K07106,murQ; N-acetylmuramic acid 6-phosphate etherase [EC:4.2.1.126]
K07109,K07109; uncharacterized protein
K07112,K07112; uncharacterized protein
K07113,fxsA; UPF0716 protein FxsA
K07115,rlmJ; 23S rRNA (adenine2030-N6)-methyltransferase [EC:2.1.1.266]
K07118,K07118; uncharacterized protein
K07120,K07120; uncharacterized protein
K07121,K07121; uncharacterized protein
K07122,mlaB; phospholipid transport system transporter-binding protein
K07126,K07126; uncharacterized protein
K07127,"uraH, pucM, hiuH; 5-hydroxyisourate hydrolase [EC:3.5.2.17]"
K07130,kynB; arylformamidase [EC:3.5.1.9]
K07132,MuB; ATP-dependent target DNA activator [EC:3.6.1.3]
K07133,K07133; uncharacterized protein
K07136,K07136; uncharacterized protein
K07139,K07139; uncharacterized protein
K07140,K07140; uncharacterized protein
K07146,K07146; UPF0176 protein
K07147,msrP; methionine sulfoxide reductase catalytic subunit [EC:1.8.-.-]
K07148,K07148; uncharacterized protein
K07149,K07149; uncharacterized protein
K07151,STT3; dolichyl-diphosphooligosaccharide---protein glycosyltransferase [EC:2.4.99.18]
K07153,hflD; high frequency lysogenization protein
K07156,"copC, pcoC; copper resistance protein C"
K07160,pxpA; 5-oxoprolinase (ATP-hydrolysing) subunit A [EC:3.5.2.9]
K07161,K07161; uncharacterized protein
K07165,fecR; transmembrane sensor
K07173,luxS; S-ribosylhomocysteine lyase [EC:4.4.1.21]
K07180,prkA; serine protein kinase
K07184,ygiM; SH3 domain protein
K07186,smp; membrane protein
K07192,FLOT; flotillin
K07213,"ATOX1, ATX1, copZ, golB; copper chaperone"
K07214,fes; enterochelin esterase and related enzymes
K07217,K07217; Mn-containing catalase
K07219,K07219; putative molybdopterin biosynthesis protein
K07221,oprO_P; phosphate-selective porin OprO and OprP
K07224,efeO; iron uptake system component EfeO
K07225,hmuS; putative hemin transport protein
K07227,chuX; heme iron utilization protein
K07229,yqjH; ferric-chelate reductase (NADPH) [EC:1.16.1.9]
K07232,"CHAC, chaC; glutathione-specific gamma-glutamylcyclotransferase [EC:4.3.2.7]"
K07234,K07234; uncharacterized protein involved in response to NO
K07235,"tusD, dsrE; tRNA 2-thiouridine synthesizing protein D [EC:2.8.1.-]"
K07236,"tusC, dsrF; tRNA 2-thiouridine synthesizing protein C"
K07237,"tusB, dsrH; tRNA 2-thiouridine synthesizing protein B"
K07239,"TC.HME; heavy-metal exporter, HME family"
K07243,"FTR, FTH1, efeU; high-affinity iron transporter"
K07245,pcoD; copper resistance protein D
K07246,"ttuC, dmlA; tartrate dehydrogenase/decarboxylase / D-malate dehydrogenase [EC:1.1.1.93 4.1.1.73 1.1.1.83]"
K07248,aldA; lactaldehyde dehydrogenase / glycolaldehyde dehydrogenase [EC:1.2.1.22 1.2.1.21]
K07250,gabT; 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.19 2.6.1.22 2.6.1.48]
K07251,thiK; thiamine kinase [EC:2.7.1.89]
K07257,spsF; spore coat polysaccharide biosynthesis protein SpsF
K07259,dacB; serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4) [EC:3.4.16.4 3.4.21.-]
K07261,mepA; penicillin-insensitive murein DD-endopeptidase [EC:3.4.24.-]
K07262,pbpG; serine-type D-Ala-D-Ala endopeptidase (penicillin-binding protein 7) [EC:3.4.21.-]
K07264,"arnT, pmrK; 4-amino-4-deoxy-L-arabinose transferase [EC:2.4.2.43]"
K07265,"kpsS, lipB; capsular polysaccharide export protein"
K07266,"kpsC, lipA; capsular polysaccharide export protein"
K07269,ytfB; uncharacterized protein
K07270,"K07270; glycosyl transferase, family 25"
K07271,licD; lipopolysaccharide cholinephosphotransferase [EC:2.7.8.-]
K07272,rgpF; rhamnosyltransferase [EC:2.4.1.-]
K07274,"mipA, ompV; MipA family protein"
K07275,ompW; outer membrane protein
K07276,K07276; uncharacterized protein
K07278,tamA; translocation and assembly module TamA
K07279,yfaL; autotransporter family porin
K07283,ydiY; putative salt-induced outer membrane protein
K07285,slp; outer membrane lipoprotein
K07286,yajG; uncharacterized lipoprotein
K07287,bamC; outer membrane protein assembly factor BamC
K07289,asmA; AsmA protein
K07290,yhjG; AsmA family protein
K07300,"chaA, CAX; Ca2+:H+ antiporter"
K07304,msrA; peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]
K07305,msrB; peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]
K07306,dmsA; anaerobic dimethyl sulfoxide reductase subunit A [EC:1.8.5.3]
K07307,dmsB; anaerobic dimethyl sulfoxide reductase subunit B
K07308,dmsC; anaerobic dimethyl sulfoxide reductase subunit C
K07309,ynfE; Tat-targeted selenate reductase subunit YnfE [EC:1.97.1.9]
K07310,ynfF; Tat-targeted selenate reductase subunit YnfF [EC:1.97.1.9]
K07311,ynfG; Tat-targeted selenate reductase subunit YnfG
K07313,pphA; serine/threonine protein phosphatase 1 [EC:3.1.3.16]
K07314,pphB; serine/threonine protein phosphatase 2 [EC:3.1.3.16]
K07315,rsbU_P; phosphoserine phosphatase RsbU/P [EC:3.1.3.3]
K07316,mod; adenine-specific DNA-methyltransferase [EC:2.1.1.72]
K07318,K07318; adenine-specific DNA-methyltransferase [EC:2.1.1.72]
K07319,yhdJ; adenine-specific DNA-methyltransferase [EC:2.1.1.72]
K07320,prmB; ribosomal protein L3 glutamine methyltransferase [EC:2.1.1.298]
K07321,cooC; CO dehydrogenase maturation factor
K07323,mlaC; phospholipid transport system substrate-binding protein
K07336,K07336; PKHD-type hydroxylase [EC:1.14.11.-]
K07337,K07337; penicillin-binding protein activator
K07340,ybbJ; inner membrane protein
K07341,doc; death on curing protein
K07343,tfoX; DNA transformation protein and related proteins
K07345,fimA; major type 1 subunit fimbrin (pilin)
K07346,fimC; fimbrial chaperone protein
K07347,"fimD, fimC, mrkC, htrE, cssD; outer membrane usher protein"
K07348,fimF; minor fimbrial subunit
K07349,fimG; minor fimbrial subunit
K07350,fimH; minor fimbrial subunit
K07351,fimI; fimbrial protein
K07356,sfmH; fimbrial protein
K07357,fimB; type 1 fimbriae regulatory protein FimB
K07390,"grxD, GLRX5; monothiol glutaredoxin"
K07393,"ECM4, yqjG; glutathionyl-hydroquinone reductase [EC:1.8.5.7]"
K07396,K07396; putative protein-disulfide isomerase
K07399,"resB, ccs1; cytochrome c biogenesis protein"
K07400,nfuA; Fe/S biogenesis protein NfuA
K07404,pgl; 6-phosphogluconolactonase [EC:3.1.1.31]
K07406,melA; alpha-galactosidase [EC:3.2.1.22]
K07407,"E3.2.1.22B, galA, rafA; alpha-galactosidase [EC:3.2.1.22]"
K07442,"TRM61, GCD14; tRNA (adenine57-N1/adenine58-N1)-methyltransferase catalytic subunit [EC:2.1.1.219 2.1.1.220]"
K07443,ybaZ; methylated-DNA-protein-cysteine methyltransferase related protein
K07445,K07445; putative DNA methylase
K07451,mcrA; 5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]
K07454,K07454; putative restriction endonuclease
K07455,recT; recombination protein RecT
K07457,K07457; endonuclease III related protein
K07458,"vsr; DNA mismatch endonuclease, patch repair protein [EC:3.1.-.-]"
K07460,yraN; putative endonuclease
K07462,recJ; single-stranded-DNA-specific exonuclease [EC:3.1.-.-]
K07467,rstA1; phage replication initiation protein
K07470,sbmC; DNA gyrase inhibitor
K07473,dinJ; DNA-damage-inducible protein J
K07474,xtmA; phage terminase small subunit
K07479,yrdD; putative DNA topoisomerase
K07483,K07483; transposase
K07484,K07484; transposase
K07485,K07485; transposase
K07486,K07486; transposase
K07487,K07487; transposase
K07490,feoC; ferrous iron transport protein C
K07491,K07491; putative transposase
K07493,K07493; putative transposase
K07495,K07495; putative transposase
K07496,K07496; putative transposase
K07503,nucS; endonuclease [EC:3.1.-.-]
K07505,repA; regulatory protein RepA
K07506,K07506; AraC family transcriptional regulator
K07507,mgtC; putative Mg2+ transporter-C (MgtC) family protein
K07516,fadN; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
K07552,"bcr, tcaB; MFS transporter, DHA1 family, multidrug resistance protein"
K07559,kptA; putative RNA 2'-phosphotransferase [EC:2.7.1.-]
K07560,"dtd, DTD; D-aminoacyl-tRNA deacylase [EC:3.1.1.96]"
K07570,GSP13; general stress protein 13
K07571,K07571; S1 RNA binding domain protein
K07589,"folX; D-erythro-7,8-dihydroneopterin triphosphate epimerase [EC:5.1.99.7]"
K07592,"tdcA; LysR family transcriptional regulator, tdc operon transcriptional activator"
K07637,"phoQ; two-component system, OmpR family, sensor histidine kinase PhoQ [EC:2.7.13.3]"
K07638,"envZ; two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ [EC:2.7.13.3]"
K07639,"rstB; two-component system, OmpR family, sensor histidine kinase RstB [EC:2.7.13.3]"
K07640,"cpxA; two-component system, OmpR family, sensor histidine kinase CpxA [EC:2.7.13.3]"
K07642,"baeS, smeS; two-component system, OmpR family, sensor histidine kinase BaeS [EC:2.7.13.3]"
K07643,"basS; two-component system, OmpR family, sensor histidine kinase BasS [EC:2.7.13.3]"
K07644,"cusS, copS, silS; two-component system, OmpR family, heavy metal sensor histidine kinase CusS [EC:2.7.13.3]"
K07645,"qseC; two-component system, OmpR family, sensor histidine kinase QseC [EC:2.7.13.3]"
K07647,"torS; two-component system, OmpR family, sensor histidine kinase TorS [EC:2.7.13.3]"
K07648,"arcB; two-component system, OmpR family, aerobic respiration control sensor histidine kinase ArcB [EC:2.7.13.3]"
K07649,"tctE; two-component system, OmpR family, sensor histidine kinase TctE [EC:2.7.13.3]"
K07654,"mtrB; two-component system, OmpR family, sensor histidine kinase MtrB [EC:2.7.13.3]"
K07657,"phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB"
K07659,"ompR; two-component system, OmpR family, phosphate regulon response regulator OmpR"
K07660,"phoP; two-component system, OmpR family, response regulator PhoP"
K07661,"rstA; two-component system, OmpR family, response regulator RstA"
K07662,"cpxR; two-component system, OmpR family, response regulator CpxR"
K07664,"baeR, smeR; two-component system, OmpR family, response regulator BaeR"
K07665,"cusR, copR, silR; two-component system, OmpR family, copper resistance phosphate regulon response regulator CusR"
K07666,"qseB; two-component system, OmpR family, response regulator QseB"
K07668,"vicR; two-component system, OmpR family, response regulator VicR"
K07670,"mtrA; two-component system, OmpR family, response regulator MtrA"
K07673,"narX; two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarX [EC:2.7.13.3]"
K07674,"narQ; two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarQ [EC:2.7.13.3]"
K07675,"uhpB; two-component system, NarL family, sensor histidine kinase UhpB [EC:2.7.13.3]"
K07676,"rcsD; two-component system, NarL family, sensor histidine kinase RcsD [EC:2.7.13.3]"
K07677,"rcsC; two-component system, NarL family, capsular synthesis sensor histidine kinase RcsC [EC:2.7.13.3]"
K07678,"barA, gacS, varS; two-component system, NarL family, sensor histidine kinase BarA [EC:2.7.13.3]"
K07679,"evgS, bvgS; two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]"
K07685,"narP; two-component system, NarL family, nitrate/nitrite response regulator NarP"
K07686,"uhpA; two-component system, NarL family, uhpT operon response regulator UhpA"
K07688,"fimZ; two-component system, NarL family, response regulator, fimbrial Z protein, FimZ"
K07689,"uvrY, gacA, varA; two-component system, NarL family, invasion response regulator UvrY"
K07690,"evgA, bvgA; two-component system, NarL family, response regulator EvgA"
K07696,"nreC; two-component system, NarL family, response regulator NreC"
K07700,"dpiB, citA; two-component system, CitB family, cit operon sensor histidine kinase CitA [EC:2.7.13.3]"
K07701,"dcuS; two-component system, CitB family, sensor histidine kinase DcuS [EC:2.7.13.3]"
K07702,"dpiA, citB; two-component system, CitB family, response regulator CitB"
K07703,"dcuR; two-component system, CitB family, response regulator DcuR"
K07704,"lytS; two-component system, LytTR family, sensor histidine kinase LytS [EC:2.7.13.3]"
K07705,"lytT, lytR; two-component system, LytTR family, response regulator LytT"
K07708,"glnL, ntrB; two-component system, NtrC family, nitrogen regulation sensor histidine kinase GlnL [EC:2.7.13.3]"
K07710,"atoS; two-component system, NtrC family, sensor histidine kinase AtoS [EC:2.7.13.3]"
K07711,"glrK, qseE; two-component system, NtrC family, sensor histidine kinase GlrK [EC:2.7.13.3]"
K07712,"glnG, ntrC; two-component system, NtrC family, nitrogen regulation response regulator GlnG"
K07714,"atoC; two-component system, NtrC family, response regulator AtoC"
K07715,"glrR, qseF; two-component system, NtrC family, response regulator GlrR"
K07717,"ycbA, glnK; two-component system, sensor histidine kinase YcbA [EC:2.7.13.3]"
K07719,"ycbB, glnL; two-component system, response regulator YcbB"
K07722,"nikR; CopG family transcriptional regulator, nickel-responsive regulator"
K07724,"ner, nlp, sfsB; Ner family transcriptional regulator"
K07726,K07726; putative transcriptional regulator
K07727,K07727; putative transcriptional regulator
K07729,K07729; putative transcriptional regulator
K07733,alpA; prophage regulatory protein
K07735,algH; putative transcriptional regulator
K07739,"ELP3, KAT9; elongator complex protein 3 [EC:2.3.1.48]"
K07740,rsd; regulator of sigma D
K07741,antB; anti-repressor protein
K07746,parD1_3_4; antitoxin ParD1/3/4
K07749,frc; formyl-CoA transferase [EC:2.8.3.16]
K07751,pepB; PepB aminopeptidase [EC:3.4.11.23]
K07755,AS3MT; arsenite methyltransferase [EC:2.1.1.137]
K07757,ybiV; sugar-phosphatase [EC:3.1.3.23]
K07768,"senX3; two-component system, OmpR family, sensor histidine kinase SenX3 [EC:2.7.13.3]"
K07771,"basR; two-component system, OmpR family, response regulator BasR"
K07772,"torR; two-component system, OmpR family, torCAD operon response regulator TorR"
K07773,"arcA; two-component system, OmpR family, aerobic respiration control protein ArcA"
K07776,"regX3; two-component system, OmpR family, response regulator RegX3"
K07781,"rcsA; LuxR family transcriptional regulator, capsular biosynthesis positive transcription factor"
K07783,"uhpC; MFS transporter, OPA family, sugar phosphate sensor protein UhpC"
K07784,"uhpT; MFS transporter, OPA family, hexose phosphate transport protein UhpT"
K07786,"emrY; MFS transporter, DHA2 family, multidrug resistance protein"
K07787,"cusA, silA; Cu(I)/Ag(I) efflux system membrane protein CusA/SilA"
K07788,mdtB; multidrug efflux pump
K07789,mdtC; multidrug efflux pump
K07791,dcuA; anaerobic C4-dicarboxylate transporter DcuA
K07793,tctA; putative tricarboxylic transport membrane protein
K07796,"cusC, silC; outer membrane protein, Cu(I)/Ag(I) efflux system"
K07797,emrK; multidrug resistance protein K
K07798,"cusB, silB; membrane fusion protein, Cu(I)/Ag(I) efflux system"
K07800,agrD; AgrD protein
K07806,"arnB, pmrH; UDP-4-amino-4-deoxy-L-arabinose-oxoglutarate aminotransferase [EC:2.6.1.87]"
K07811,torA; trimethylamine-N-oxide reductase (cytochrome c) [EC:1.7.2.3]
K07812,torZ; trimethylamine-N-oxide reductase (cytochrome c) [EC:1.7.2.3]
K07813,agrB; accessory gene regulator B
K07979,ytrA; GntR family transcriptional regulator
K08093,hxlA; 3-hexulose-6-phosphate synthase [EC:4.1.2.43]
K08094,hxlB; 6-phospho-3-hexuloisomerase [EC:5.3.1.27]
K08151,"tetA; MFS transporter, DHA1 family, tetracycline resistance protein"
K08153,"blt; MFS transporter, DHA1 family, multidrug resistance protein"
K08154,"emrD; MFS transporter, DHA1 family, 2-module integral membrane pump EmrD"
K08156,"araJ; MFS transporter, DHA1 family, arabinose polymer utilization protein"
K08159,"sotB; MFS transporter, DHA1 family, L-arabinose/isopropyl-beta-D-thiogalactopyranoside export protein"
K08160,"mdfA, cmr; MFS transporter, DHA1 family, multidrug/chloramphenicol efflux transport protein"
K08161,"mdtG; MFS transporter, DHA1 family, multidrug resistance protein"
K08162,"mdtH; MFS transporter, DHA1 family, multidrug resistance protein"
K08163,"mdtL; MFS transporter, DHA1 family, multidrug resistance protein"
K08167,"smvA, qacA, lfrA; MFS transporter, DHA2 family, multidrug resistance protein"
K08168,"tetB; MFS transporter, DHA2 family, metal-tetracycline-proton antiporter"
K08169,"yebQ; MFS transporter, DHA2 family, multidrug resistance protein"
K08172,"shiA; MFS transporter, MHS family, shikimate and dehydroshikimate transport protein"
K08173,"ydfJ; MFS transporter, MHS family, metabolite:H+ symporter"
K08194,"dgoT; MFS transporter, ACS family, D-galactonate transporter"
K08219,"UMF2; MFS transporter, UMF2 family, putative MFS family transporter protein"
K08222,"yqgE; MFS transporter, YQGE family, putative transporter"
K08225,"entS; MFS transporter, ENTS family, enterobactin (siderophore) exporter"
K08227,"lplT; MFS transporter, LPLT family, lysophospholipid transporter"
K08276,eco; ecotin
K08277,caiF; transcriptional activator CaiF
K08279,caiE; carnitine operon protein CaiE
K08281,pncA; nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-]
K08282,E2.7.11.1; non-specific serine/threonine protein kinase [EC:2.7.11.1]
K08289,purT; phosphoribosylglycinamide formyltransferase 2 [EC:2.1.2.2]
K08296,sixA; phosphohistidine phosphatase [EC:3.1.3.-]
K08297,caiA; crotonobetainyl-CoA dehydrogenase [EC:1.3.8.13]
K08298,caiB; L-carnitine CoA-transferase [EC:2.8.3.21]
K08299,caiD; crotonobetainyl-CoA hydratase [EC:4.2.1.149]
K08300,rne; ribonuclease E [EC:3.1.26.12]
K08302,"gatY-kbaY; tagatose 1,6-diphosphate aldolase GatY/KbaY [EC:4.1.2.40]"
K08304,mltA; membrane-bound lytic murein transglycosylase A [EC:4.2.2.-]
K08305,mltB; membrane-bound lytic murein transglycosylase B [EC:4.2.2.-]
K08306,mltC; membrane-bound lytic murein transglycosylase C [EC:4.2.2.-]
K08308,"mltE, emtA; membrane-bound lytic murein transglycosylase E [EC:4.2.2.-]"
K08309,slt; soluble lytic murein transglycosylase [EC:4.2.2.-]
K08310,"nudB, ntpA; dihydroneopterin triphosphate diphosphatase [EC:3.6.1.67]"
K08311,nudH; putative (di)nucleoside polyphosphate hydrolase [EC:3.6.1.-]
K08312,nudE; ADP-ribose diphosphatase [EC:3.6.1.-]
K08313,"fsaA, mipB; fructose-6-phosphate aldolase 1 [EC:4.1.2.-]"
